"gene_description"	"abbreviation"	"locus_ref"	"pathway"	"localization"	"additional_temporary_column"	"good"
"Acetoacetyl-CoA thiolase"	"AACT"	63691	"mevalonate"	"unknown"		"n"
"10-hydroxygeraniol oxidoreductase"	"ADH"	580	"iridoid"	"IPAP cells"	"EC 1.14.13.74"	"y"
"10-hydroxygeraniol oxidoreductase"	"ADH"	3755	"iridoid"	"IPAP cells"		"y"
"10-hydroxygeraniol oxidoreductase"	"ADH"	4319	"iridoid"	"IPAP cells"	"NA"	"y"
"10-hydroxygeraniol oxidoreductase"	"ADH"	16113	"iridoid"	"IPAP cells"		"y"
"10-hydroxygeraniol oxidoreductase"	"ADH"	74548	"iridoid"	"IPAP cells"		"n"
"10-hydroxygeraniol oxidoreductase"	"ADH"	121040	"iridoid"	"IPAP cells"		"y"
"Anthranilate synthase component II"	"AS"	672	"indole"	"Epidermis"		"y"
"Anthranilate synthase, alpha subunit"	"AS"	6504	"indole"	"Epidermis"		"y"
"Anthranilate synthase component I"	"AS"	11944	"indole"	"Epidermis"		"y"
"Chorismate mutase"	"CM"	3298	"indole"	"unknown"		"y"
"Chorismate mutase"	"CM"	13265	"indole"	"unknown"		"y"
"Chorismate mutase"	"CM"	74002	"indole"	"unknown"		"n"
"Cytochrome P450 reductase"	"CPR"	1734	"iridoid"	"IPAP cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	77	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	505	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	6781	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	7131	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	7797	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	11024	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	11719	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	12495	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	13060	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	17973	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	23049	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	23549	"downstream"	"MLI cells"		"n"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	46643	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	46696	"downstream"	"MLI cells"		"y"
"Desacetoxyvindoline 4-hydroxylase"	"D4H"	63856	"downstream"	"MLI cells"		"n"
"Deacetylvindoline O-acetyltransferase"	"DAT"	396	"downstream"	"MLI cells"		"y"
"Deacetylvindoline O-acetyltransferase"	"DAT"	1184	"downstream"	"MLI cells"		"y"
"Deacetylvindoline O-acetyltransferase"	"DAT"	10346	"downstream"	"MLI cells"		"y"
"Deacetylvindoline O-acetyltransferase"	"DAT"	14855	"downstream"	"MLI cells"		"y"
"Deoxyloganin-7 hydroxylase"	"DL7H"	"NA"	"iridoid"	"unknown"		"y"
"1-deoxy-D-xylulose-5-phosphate reductoisomerase"	"DXR"	4962	"mep"	"IPAP cells"		"y"
"1-deoxy-D-xylulose 5-phosphate synthase"	"DXS"	381	"mep"	"IPAP cells"		"y"
